2025-04-24-02:33:53;4000 0000 0000;Glass;Longitude:     43.3055000;Latitude:     -8.5048876; 112kg
2025-04-24-02:40:24;4000 0000 0000;Glass;Longitude:     43.2864647;Latitude:     -8.4945984; 154kg
2025-04-24-02:46:34;4000 0000 0000;Glass;Longitude:     43.2937698;Latitude:     -8.4892636;   0kg
2025-04-24-02:52:06;4000 0000 0000;Glass;Longitude:     43.2960434;Latitude:     -8.5067148;   0kg
2025-04-24-02:57:38;4000 0000 0000;Glass;Longitude:     43.3120575;Latitude:     -8.4980898; 180kg
2025-04-24-03:01:37;4000 0000 0000;Glass;Longitude:     43.3112640;Latitude:     -8.4867316;  73kg
2025-04-24-08:06:47;0000 0000 0000;Glass;Longitude:     43.3031540;Latitude:     -8.5137530;   0kg
2025-04-24-08:09:05;4000 0000 0000;Glass;Longitude:     43.3026123;Latitude:     -8.5131016;   0kg
2025-04-24-08:11:31;4000 0000 0000;Glass;Longitude:     43.3011665;Latitude:     -8.5113735; 108kg
2025-04-24-08:13:43;4000 0000 0000;Glass;Longitude:     43.3000794;Latitude:     -8.5098171; 153kg
2025-04-24-08:16:09;4000 0000 0000;Glass;Longitude:     43.2996406;Latitude:     -8.5065680; 130kg
2025-04-24-08:20:26;4000 0000 0000;Glass;Longitude:     43.3075524;Latitude:     -8.5033360;   0kg
2025-04-24-08:22:56;4000 0000 0000;Glass;Longitude:     43.3110771;Latitude:     -8.4998789; 157kg
2025-04-24-08:26:35;4000 0000 0000;Glass;Longitude:     43.3160553;Latitude:     -8.4911976;   0kg
2025-04-24-08:29:30;4000 0000 0000;Glass;Longitude:     43.3158074;Latitude:     -8.4916954;  75kg
2025-04-24-08:32:12;4000 0000 0000;Glass;Longitude:     43.3133125;Latitude:     -8.4960375; 143kg
2025-04-24-08:34:25;4000 0000 0000;Glass;Longitude:     43.3131294;Latitude:     -8.4975815;   0kg
2025-04-24-08:38:20;4000 0000 0000;Glass;Longitude:     43.3095131;Latitude:     -8.5015288; 179kg
2025-04-24-08:41:36;4000 0000 0000;Glass;Longitude:     43.3082733;Latitude:     -8.5028124;   0kg
2025-04-24-08:45:16;4000 0000 0000;Glass;Longitude:     43.3045387;Latitude:     -8.5049095;   0kg
2025-04-24-08:47:34;4000 0000 0000;Glass;Longitude:     43.3030777;Latitude:     -8.5051604;   0kg
2025-04-24-08:49:55;4000 0000 0000;Glass;Longitude:     43.3011627;Latitude:     -8.5053091;   0kg
2025-04-24-08:52:14;4000 0000 0000;Glass;Longitude:     43.3003311;Latitude:     -8.5057154; 129kg
2025-04-24-08:54:43;4000 0000 0000;Glass;Longitude:     43.2997513;Latitude:     -8.5066738;   0kg
2025-04-24-08:56:51;4000 0000 0000;Glass;Longitude:     43.2997932;Latitude:     -8.5084018;   0kg
2025-04-24-08:59:05;4000 0000 0000;Glass;Longitude:     43.3001099;Latitude:     -8.5097198;   0kg
2025-04-24-09:01:06;4000 0000 0000;Glass;Longitude:     43.3008270;Latitude:     -8.5107260; 157kg
2025-04-24-09:03:32;4000 0000 0000;Glass;Longitude:     43.3016624;Latitude:     -8.5118189;   0kg
2025-04-24-21:30:46;2025 0000 1113;Organic;Longitude:     43.3171425;Latitude:     -8.4871454;  31kg
2025-04-24-21:32:49;2025 0000 1240;Organic;Longitude:     43.3170509;Latitude:     -8.4848518;   8kg
2025-04-24-21:34:44;2025 0000 1206;Organic;Longitude:     43.3170128;Latitude:     -8.4840278;   0kg
2025-04-24-21:36:36;2025 0000 1119;Organic;Longitude:     43.3169212;Latitude:     -8.4815750;   0kg
2025-04-24-21:38:51;2025 0000 1209;Organic;Longitude:     43.3168831;Latitude:     -8.4801788;   5kg
2025-04-24-21:41:29;2025 0000 1224;Organic;Longitude:     43.3168335;Latitude:     -8.4784308;   0kg
2025-04-24-21:44:20;2025 0000 1210;Organic;Longitude:     43.3170128;Latitude:     -8.4736519;   0kg
2025-04-24-21:46:45;2025 0000 1226;Organic;Longitude:     43.3202057;Latitude:     -8.4738836;  64kg
2025-04-24-21:49:32;2025 0000 1217;Organic;Longitude:     43.3185806;Latitude:     -8.4751835; 188kg
2025-04-24-21:53:19;2025 0000 0664;Organic;Longitude:     43.3172722;Latitude:     -8.4796372;   0kg
2025-04-24-21:55:13;2025 0000 1110;Organic;Longitude:     43.3170776;Latitude:     -8.4814558;  47kg
2025-04-24-21:57:44;2025 0000 1202;Organic;Longitude:     43.3173904;Latitude:     -8.4825268;   0kg
2025-04-24-21:59:54;2025 0000 1084;Organic;Longitude:     43.3170357;Latitude:     -8.4829998;   0kg
2025-04-24-22:01:45;2025 0000 1111;Organic;Longitude:     43.3171310;Latitude:     -8.4851332;   0kg
2025-04-24-22:04:15;2025 0000 0863;Organic;Longitude:     43.3177490;Latitude:     -8.4896021;  17kg
2025-04-24-22:06:11;2025 0000 0758;Organic;Longitude:     43.3187446;Latitude:     -8.4882860;  85kg
2025-04-24-22:08:11;2025 0000 0864;Organic;Longitude:     43.3196411;Latitude:     -8.4880162;   0kg
2025-04-24-22:11:30;2025 0000 0782;Organic;Longitude:     43.3255501;Latitude:     -8.4802799;  88kg
2025-04-24-22:13:56;2025 0000 0778;Organic;Longitude:     43.3254624;Latitude:     -8.4782181;   0kg
2025-04-24-22:16:27;2025 0000 0771;Organic;Longitude:     43.3264236;Latitude:     -8.4786062;  12kg
2025-04-24-22:19:41;2025 0000 0858;Organic;Longitude:     43.3248406;Latitude:     -8.4800282;  35kg
2025-04-24-22:22:29;2025 0000 0799;Organic;Longitude:     43.3260155;Latitude:     -8.4812317;  49kg
2025-04-24-22:24:51;2025 0000 0848;Organic;Longitude:     43.3252334;Latitude:     -8.4817886;  10kg
2025-04-24-22:26:46;2025 0000 0796;Organic;Longitude:     43.3247604;Latitude:     -8.4812069;  20kg
2025-04-24-22:28:58;2025 0000 0769;Organic;Longitude:     43.3241997;Latitude:     -8.4813299;   0kg
2025-04-24-22:31:02;2025 0000 0787;Organic;Longitude:     43.3229675;Latitude:     -8.4851885;   0kg
2025-04-24-22:33:06;2025 0000 0793;Organic;Longitude:     43.3227234;Latitude:     -8.4875936;  18kg
2025-04-24-22:37:00;2025 0000 1229;Organic;Longitude:     43.3174782;Latitude:     -8.4775648;  15kg
2025-04-24-22:39:08;2025 0000 0893;Organic;Longitude:     43.3189049;Latitude:     -8.4748030;   0kg
2025-04-24-22:41:01;2025 0000 1207;Organic;Longitude:     43.3199997;Latitude:     -8.4743080;   0kg
2025-04-24-22:42:43;2025 0000 1215;Organic;Longitude:     43.3216248;Latitude:     -8.4738369;  28kg
2025-04-24-22:44:50;2025 0000 0661;Organic;Longitude:     43.3226051;Latitude:     -8.4743252;  22kg
2025-04-24-22:47:50;2025 0000 0649;Organic;Longitude:     43.3285332;Latitude:     -8.4672928;   3kg
2025-04-24-22:49:39;2025 0000 1041;Organic;Longitude:     43.3288574;Latitude:     -8.4664831;  18kg
2025-04-24-22:52:31;2025 0000 1062;Organic;Longitude:     43.3308525;Latitude:     -8.4571076;  78kg
2025-04-24-22:54:34;2025 0000 1050;Organic;Longitude:     43.3313637;Latitude:     -8.4581051;  24kg
2025-04-24-22:56:57;2025 0000 1047;Organic;Longitude:     43.3324776;Latitude:     -8.4626856;  23kg
2025-04-24-22:59:17;2025 0000 1064;Organic;Longitude:     43.3312187;Latitude:     -8.4635105;  76kg
2025-04-24-23:01:48;2025 0000 1054;Organic;Longitude:     43.3301926;Latitude:     -8.4636135; 214kg
2025-04-24-23:08:03;2025 0000 0986;Organic;Longitude:     43.3320122;Latitude:     -8.4645558;   0kg
2025-04-24-23:10:33;2025 0000 0887;Organic;Longitude:     43.3335152;Latitude:     -8.4659481;   0kg
2025-04-24-23:13:45;2025 0000 0904;Organic;Longitude:     43.3324127;Latitude:     -8.4695120;   0kg
2025-04-24-23:16:06;2025 0000 0846;Organic;Longitude:      0.0000000;Latitude:      0.0000000;   0kg
2025-04-24-23:18:10;2025 0000 0851;Organic;Longitude:     43.3307991;Latitude:     -8.4701472;  28kg
2025-04-24-23:20:20;2025 0000 0851;Organic;Longitude:     43.3315392;Latitude:     -8.4697294;   0kg
2025-04-24-23:22:17;2025 0000 0882;Organic;Longitude:     43.3322487;Latitude:     -8.4684096;  41kg
